title,cluster_number
 iadb reforms,0
lesco inc  1st qtr feb 28 loss,1
seismic enterprises inc  4th qtr loss,1
alc  anticipates 1st qtr profit,1
varlen corp  declares qtly dividend,0
analysis and technology inc  hikes payout,0
iraq replaces oil minister in big govt shuffle,0
anchor savings bank members approve conversion,0
"moody's may cut ecolab , up chemlawn",0
caesars  has no comment on mts talks,0
dixons says citicorp to withdraw cyclops offer,0
uk discusses insider trading with channel islands,0
talks begin to end bolivian miners' strike,0
"judge, ex-senator among contenders for sec post",0
primark corp  regular dividend,0
saxon oil development partners  in payout,0
"w. germany, bolivia sign two cooperation pacts",0
security pacific  registers debt,0
unocal  sells seven and 10-year notes,0
ibm  rebound seen by bernstein analyst,0
advanced viral research plant set for approval,0
"u.s. sells 3-mo bills at 5.55 pct, stop 5.56 pct, 6-mo 5.55 pct, stop 5.55 pct",0
citicorp (cci) seeks cyclops  steel unit,3
brunswick  sees higher 1987 first quarter,0
inspectors to check price levels in yugoslavia,0
mark iv  unit to begin conrac  tender,3
weatherford  suspends preferred payouts,0
mhi group  affiliated with cemetary offer,0
lotus  extends symphony upgrade,0
"iraq reports attacks on supertanker, oil targets",0
communication problems affecting cboe quotes,0
harcourt  disappointed with harper,0
canada plans two bond auctions,0
club med inc  1st qtr jan 31 net,1
driver-harris co  4th qtr net,1
1987 u.s. soybean loan should stay same-amstutz,0
canada bank deregulation talks make progress,0
"inland steel, nippon steel to form joint cold rolled sheet steel venture",0
texas instruments  chip pact approved,0
cooper development  restates results,0
borden  plant fined on pollution violations,0
ambrit inc  4th qtr jan 31 net,1
ecolab  debt may be downgraded by s/p,0
year loss,0
s/p upgrades weyerhauser  market preferred,0
bank of new england  names scott to board,0
american express declared a two-for-one stock split,0
american express raises qtly dividend to 38 cts from 36 cts,0
u.s. willing to talk to moscow on wheat price,0
american express board approved nippon life purchase of shearson interest,0
american express approves public offering for part of shearson lehman brothers,0
banctexas  gets consolidation approval,0
federal paper board  upgraded by moody's,0
united illuminating co  two months feb 28,0
data card  sees lower yearend results,0
bally  shifts management at subsidiary,0
du pont  ups stake in perceptive systems,0
quaker oats  sells vernell's fine candies,0
lincoln savings  sets first payout,0
graphic industries  ends buyout talks,0
united  pact may lower noncash income,0
baker says latins balk at u.s. iadb compromise,0
ibm  computer to ship ahead of schedule,0
"inland , nippon form joint steel venture",0
general automation  to offer new computer,0
volcker assistant joins peat marwick,0
hughes' u.s. rig count rises to 784,0
amstutz says farm trade accord possible in 1988,0
campbell red lake mines ltd  qtly div,0
stokely usa inc  regular dividend set,0
new york regulator attacks senate bank bill,0
cooper says offer must include class a shares,0
kings road entertainment  3rd qtr loss,1
burnham sleepy hollow  converts to corp,0
american express  approves shearson offer,0
sterivet labs  sets stock split,0
chicago futures leader says markets can adapt,0
gte  files auction preferred share offer,0
tcby enterprises inc  1st qtr feb 28 net,1
space microwave  sets securities offering,0
hecla  buys stake in greens creek venture,0
u.s. treasury to modify transfers program,0
sprint optimistic despite losses,0
geodyne  to offer partnership units,0
avalon  stake sold by deltec,0
quaker oats  sells unit to keystone,3
u.s. budget writers to draft measure jointly,0
u.s. to ask japan to drop beef restrictions,0
canada's mulroney to meet with anc leader,0
mulroney calls on congress for acid rain action,0
clabir corp  4th qtr jan 31 net,1
u.k. profitted from autumn intervention - lawson,0
bay financial corp  3rd qtr feb 28,1
corrected - manhattan national4th qtr loss,1
ambrit inc  4th qtr jan 31 net,1
communications corp of america 2nd qtr dec 31,1
car bomb explodes at british base in w. germany,0
dollar hits record low of 149.78 yen - tokyo dealers,0
cbi survey points to surge in u.k. output,0
"tokyo - bank of japan buys small amount of dollars, dealers said",0
miyazawa says time has come for major nations to act on exchange rates,0
major nations must act on currencies - miyazawa,0
"bolivian miners, government continue strike talks",0
"bank of japan re-enters market and steps up dollar buying, dealers say",0
bank of japan steps up dollar buying,0
yeutter sees gatt consensus on farm trade reform,0
haig says he plans to run for u.s. president,0
west germany sharply boosts aid to bolivia,0
swire seen reporting 20 pct rise in 1986 profit,0
(corrected) - philippines criticises ec for oil levy,0
taiwan complains about size of reserves,0
australian minister sees targeted oil tax strategy,0
gatt round may stop growing trade problems - u.s.,0
shell australia reports 45.79 mln dlr 1986 profit,2
superconductor research may boost tokyo stocks,0
nakasone intervenes in microchip dispute with u.s.,0
"northeast, eastern thailand face severe drought",0
"u.k., australia offer wheat to bangladesh",0
sumita says bank of japan will intervene if necessary,0
world bank chief pledges support to indonesia,0
sumita says bank will intervene if necessary,0
yeutter says u.s.-japan trade difficulties remain,0
p and o 1986 pretax profit 174.1 mln stg vs 125.6 mln,2
kuwait says opec 2.4 mln bpd below ceiling,2
peninsular and oriental 1986 year,0
"woolworth holdings pretax profit 115.3 mln stg vs 81.3 mln, year to end-january",2
china says possible good harvest despite drought,0
woolworth holdings plc  yr to end-january,0
tmoc tells shareholders not to accept santos bid,0
santos ltd  year end dec 31 net profit 88.67 dlrs vs 144.04 mln,2
williams holdings says it bidding 542.2 mln stg for norcros ordinary shares,2
williams holdings bids 542.2 mln stg for norcros,2
santos ltd  year ending dec 31,0
french bond committee approves domestic issues totalling 4.45 billion francs,0
doubts about accord seen weakening dollar further,0
american can issuing 150 mln dlr convertible bond,2
australian oil industry to continue tax campaign,0
german february import prices fall,0
french bonds for 4.45 billion francs approved,0
china's fifth securities market to open,0
china expected to show big 1986 budget deficit,0
"nippon life, shearson tie-up seen setting trend",0
u.k. money market deficit forecast at 300 mln stg,2
santos says profits hit by oil price fall,0
sony setting up second audio plant in malaysia,0
p and o plans warrant issue to mark anniversary,0
indonesian banks profits rise after devaluation,0
canada outlines gatt agricultural reform plan,0
taiwan issues more certificates of deposits,0
philippine trade secretary pleased with gatt talks,0
drought hits thai rubber and fruit growers,0
barbados seeking 25 mln stg revolving credit,2
india launches first intercontinental-range rocket,0
miyazawa says u.s. likely to intervene,0
skandinaviska enskilda issues yen bonds,0
british aerospace 1986 pretax profit 182.2 mln stg vs 150.5 mln,2
british aerospace plc  1986 year,0
china sets up joint venture bank with world bank,0
"s.africa disclosing new arrangement for foreign debt repayment today, finance ministry says",0
suzuki motor plans hungarian joint car venture,0
copenhagen telephone 600 mln french franc issue,2
south africa sets news conference on debt,0
asea capital issues 10 billion yen bond,0
alcatel cit and cap gemini win swedish contracts,0
japanese capital spending growth expected to slow,0
thai international buys two dc 10-30s,0
"german feb sugar stocks up in year, down in month",0
ferranti unit lands multi mln dlr conrtact,2
portuguese grain agency ban to remain - ec sources,0
bank of japan steps up dollar buying,0
sumita says bank will intervene if necessary,0
american can issuing 150 mln dlr convertible bond,2
second pakistan bombing kills 22,0
cbi survey points to surge in u.k. output,0
yeutter sees gatt consensus on farm trade reform,0
nakasone intervenes in microchip dispute,0
doubts about accord seen weakening dollar further,0
prudential corp 1986 pretax profit 178.1 mln stg vs 110.1 mln,2
"nippon life, shearson tie-up seen setting trend",0
canada outlines gatt agricultural reform plan,0
prudential corp plc  1986 year,0
philippines said to raise interest offer to banks,0
major nations must act on currencies - miyazawa,0
japan economy may start bottoming out soon -agency,0
kuwait says opec 2.4 mln bpd below ceiling,2
bundesbank allocates 6.5 billion marks in 28-day repurchase pact at 3.80 pct,0
miyazawa says u.s. likely to intervene,0
u.s. offers to escort kuwaiti tankers in gulf,0
yeutter says u.s.-japan trade difficulties remain,0
bundesbank allocates 6.5 billion marks in tender,0
u.k. money market given 115 mln stg assistance,2
"bomb explodes at british army base, 30 injured",0
south africa sets news conference on debt,0
french employers chief sees hope for growth,0
eurofima issues 125 mln ecu 10-year eurobond,2
soviet sugar imports higher in oct/nov,0
west german 1986 sugar output rises,0
norcros rejects 542.2 mln stg bid from williams,2
no proof of more chernobyl grain damage-diplomats,0
schleswig holstein lb issues australian dlr bond,0
iran said to test fire silkworm missile in hormuz,0
merrill lynch  in talks on canada purchases,0
mark iv  starts bid for conrac,0
ecolab  starts bid for chemlawn,0
taiwan proposes further tariff cuts,0
disney  french disneyland deal definitive,0
pakistan consumer price index falls in january,0
ericsson wins 400 mln crown algerian order,2
iran said to test fire silkworm missile in hormuz,0
bet wins approval for u.s. share issue,0
british telecom awards orders worth 73 mln stg,2
taiwan proposes further tariff cuts,0
credit suisse freezes accounts in insider probe,0
"u.s. feb durable goods orders rose 6.0 pct, nondefense durables rose 3.8 pct",0
standard chartered plc  1986 year,0
world bank chief pledges support to indonesia,0
kdi  to buy triangle microwave,0
storm brings heavy snows to u.s. plains,0
u.s. feb durable goods rose 6.0 pct,0
woolworth u.k. says growth prospects exciting,0
national semiconductor corp  3rd qtr loss,1
comdata network agrees to higher offer from welsh carson anderson,0
sumita says bank will intervene if necessary,0
comdata  accepts new welsh carson bid,0
jefferies  sets markets in three stocks,0
ireland put on colorado beetle alert,0
dollar drop seen as test of paris agreement,0
earthquake strikes western japanese coast,0
transnational industries  sees loss,0
great western  sells insurance unit,3
central capital sets 100 mln dlr share issue,2
bce development plans preferred share offering,0
associated porcupine funding accord terminated,0
monoclonal antibodies  order bars sales,0
sterivet  sets three-for-one share split,0
spain raises call money rates on higher demand,0
campbell red lake  sets quarterly dividend,0
gatt round may stop growing trade problems: u.s.,0
belgian march consumer prices rise,0
yugoslavia changes controversial wage-freeze law,0
u.k. money market given further 104 mln stg help,2
brazil's bankworkers launch national strike,0
princeville  gets letter of credit,0
advanced computer techniques  year net,0
news corp  unit corrects dividend rate,3
mcrae industries  increases payout,0
columbia first  takes over bank,0
n.y. dealers believe fed intervened to buy dlrs,0
charming shoppes inc  raises quarterly,0
metropolitan financial  closing 6 branches,0
angelica corp  4th qtr jan 31 net,1
charming shoppes  plans new stores,0
gull inc  3rd qtr feb 28 nt,1
ameriana savings bank  4th qtr net,1
griffin technology inc  4th qtr net,1
hungary details tax reforms for 1988,0
honduras seeks pl480 vessels for tallow delivery,0
petrie stores corp  4th qtr jan 31 net,1
u.s. economy shows promising signs of growth,0
indonesia urged to deregulate its economy,0
argyll sells subsidiary's assets for 14 mln stg,2
iran warns u.s. not to intervene in the gulf,0
vallen corp  3rd qtr feb 28 net,1
control data  announces new computer,0
dutch to set up exchanges watchdog body,0
to go public,0
hoechst unit issuing 130 mln swiss franc bond,2
shell to declare norway's draugen field commercial,0
bond corp has no comment on allied speculation,0
s. africa gold mining industry had record year,0
"claremont tells sec it seeks 15 pct champion products stake, two board seats",0
"rice, corn lead 1987 u.s. farm payments - usda",0
u.k. money market given 10 mln stg late assistance,2
volvo group company proposes two-for-five issue,0
"moody's affirms ratings of chrysler and units, affects 12 billion dlrs of debt",0
brazil's bankworkers launch national strike,0
"indonesian foreign debts manageable, conable says",0
u.s. energy secretary optimistic on incentives,0
digital equipment  announces products,0
commercial metals co  2nd qtr feb 28 net,1
geo. a. hormel  votes two-for-one split,0
philippine central banker faces corruption charges,0
consolidated-bathurst to buy back some shares,0
claremont to boost champion products  stake,0
wang  in software integration agreement,0
household int'l  to repurchase more shares,0
moody's affirms chrysler  and unit,3
xoma corp  files for offering,0
year 1986,0
cyclops  says dixons agreements binding,0
fireman's fund subpoenaed by sec on american express stock sale,0
in merger agreement,0
astrotech  director buys company stock,0
fireman's fund  subpoenaed by sec,0
northern telecom  in pact with u.s. firm,0
american cyanamid  changes record date,0
pneumatic scale co  sets quarterly,0
ford  credit unit sells notes at 8.13 pct,3
amer signs 50 mln dollar multicurrency loan,2
curtice-burns foods inc  raises payout,0
lyphomed  to market wound dressing,0
"att introduces new computer hardware, software, networking products",0
"hydraulic  splits 3-for-2, hikes dividend",0
att  introduces new computer products,0
hughes supply inc  4th qtr net,1
preway inc  4th qtr loss,1
moore-mccormack  completes unit sale,3
sudan rejects imf demand for devaluation,0
southern national corp  sets stock split,0
ione completes initial public offering,0
national semiconductor cites improved results,0
ec cold aid food scheme may be made permanent,0
ford mid-march car sales up 15.2 pct,0
"fed may add reserves, economists say",0
credit national issues 100 mln dlr eurobond,2
e-tron corp reaches agreement with former pres,0
salomon offers units of van dusen airport l.p.,0
berliner bank outlines losses,0
alpha industries  gets favorable decision,0
hughes supply inc  sets quarterly,0
freeport-mcmoran  to offer preferred,0
kleinert's inc  1st qtr ends feb 28 net,1
hoesch wins 22 mln mark order from east germany,2
u.s. supreme court allows offshore alaskan oil and gas exploration,0
great lakes  in venture with johnson,0
microdyme corp  1st qtr feb one loss,1
u.s. court allows offshore alaskan exploration,0
"south africa/banks agree new debt repayment plan, standstill extended to 1990 - bankers",0
"south africa/banks work out debt plan, standstill extended to 1990 - bankers",0
ford motor  mid-march car sales up,0
south africa/banks agree new terms to repay debt,0
lower tax offsets lower shell u.k. upstream profit,0
volkswagen u.s. mid-march car sales down,0
calny inc rejects pepsico inc acquisition offer,0
dixons plans to let cyclops  offer expire,0
s/p upgrades iowa-illinois gas  preferred,0
finnish export credit issues danish crown bonds,0
international clinical laboratories inc,0
punta gorda  cancels rights offering,0
midam sets trading at new cbt location march 30,0
norwegian central bank reserves fall in january,0
gnb joins in leveraged buyout of french unit,3
lb rheinland-pfalz issues australia dlr bond,0
control resource  names new president,0
chrysler mid-march u.s. car sales down 3.6 pct,0
hercules  names new chairman,0
oil tax break ridiculed by u.s. house taxwriter,0
calny  rejects pepsico acquisition offer,0
"k mart corp raises dividend 17.6 pct, votes three-for-two stock split",0
control data  launches new cyber system,0
talking point/u.s. brokerage firms,0
"olivetti adds computer, software to product line",0
banca cattolica in 100 mln dlr cd issue,2
fed's heller advocates commodity prices as guide for monetary policy,0
bayerische vereinsbank sells warrants on bonds,0
banco di sicilia international issues eurobond,0
fed governor supports commodity price guide,0
"k mart  raises payout, votes split",0
american motors mid-march u.s. car sales off 62 pct,0
chrysler  mid-march u.s. car sales down,0
southmark  sells national heritage stake,0
ghana cocoa purchases still ahead of last year,0
nv philips shares move from nasdaq to nyse,0
american express unit issues new zealand dlr bond,3
owens-illinois  acquisition completed,0
hecla  to buy mine stake from bp  unit,3
"chrysler, lamborghini still in joint venture talks",0
"moscow supports free gulf navigation, envoy says",0
belgium details pricing plan for ecu gold coin,0
data architects inc  1st qtr feb 28 net,1
passport travel inc  1st qtr feb 28 net,1
hi-shear industries inc  3rd qtr feb 28 net,1
prudential records best results in six years,0
"giant bay , yellowknife  approve deal",0
crs sirrine  to take write-off,0
resorts int'l  to make statement,0
flowers industries inc  3rd qtr march 7,1
flowers industries  sees lower year net,0
leeds permanent issues 50 mln stg bond,2
technitrol inc  4th qtr,1
medical  gets humana  contract,0
general motors corp mid-march car sales off 15.5 pct,0
france's cne issues 650 mln franc domestic bond,2
amc mid-march u.s. car sales off 62 pct,0
alcan ups aluminium ingot and billet prices,0
amc  mid-march u.s. car sales off 62 pct,0
gm  mid-march car sales off 15.5 pct,0
university  to supply intraocular lenses,0
corrected-hecla  to buy mine stake from bp,0
"nigeria, britain agree rescheduling of official debt - government sources",0
general nutrition inc  4th qtr net,1
"cp air, pacific western airlines set new name",0
"nigeria, britain to reschedule official debt",0
drawdown seen in u.s. distillate stocks,0
american honda mid-march u.s. car sales up,0
sterling outlook clouded by test of paris accord,0
u.s. ex-im bank to change lending policies,0
nasd president leaves for hambrecht and quist,0
wedgestone realty  files for offering,0
new jersey resources  shares offered,0
epitope  sets antibodies for aids research,0
plenum publishing corp  4th qtr net,1
plenum  reincorporates in delaware,0
honeybee inc  4th qtr net,1
scientific measurement systems inc  net,0
ribi  signs pact with travenol,0
ec member states cool on cereal plans,0
att  forms computer sales groups,0
home intensive  opens two dialysis units,0
public service co of colorado  in payout,0
corrected - manhattan national corp  4th,0
gm mid-march car sales off 15.5 pct,0
south africa/banks agree on debt repayment plan,0
standard chartered boosted bad-debt provisions,0
colombia coffee revenue sharply down in jan/feb,0
benihana  files share offering,0
ste francaise des petroles bp  1986 year,0
olivetti does not exclude stake in sgs-thomson,0
fairchild  seeks okay for reincorpoation,0
enserch corp  sets quarterly,0
nestle to acquire nabisco canada businesses,0
group says aids transfusion fears exaggerated,0
fed's heller says he wants to see stronger japanese demand for american goods,0
metropolitan financial corp  votes payout,0
s-k-i  ltd  says skier visits a record,0
goodyear  unit to start up pipeline,3
microsize inc  2nd qtr ends feb 28 net,1
control changes,0
control resources  names president,0
"cyacq amends cyclops offer conditions, says citicorp expands financing",0
gordon jewelry  completes sale of unit,3
cincinnati gas  files shelf offerings,0
derose  chairman steps down,0
fed's heller urges japanese to buy u.s. goods,0
bsd medical  names chief executive,0
coca-cola  executive resigns,0
tajon ranch co  4th qtr net,1
health management  limits liability,0
showboat  play money opening delayed,0
centerior energy corp  sets quarterly,0
balladur says economic rebound to take years,0
suffield financial corp  raises quarterly,0
eastman kodak to reduce capacity and employment in polyester fibers business,0
cyacq cuts conditions on cyclops  bid,0
tin pact extension likely - itc delegates,0
candlewood bank initial offering starts,0
sigma research onc  2nd qtr dec 31 loss,1
fed says it buys bills outright for customer,0
"time  begins debt tender, files shelf",0
morgan files complaint against metromedia,0
nissan u.s. car sales rise in mid-march,0
kodak  to cut polyester fiber operations,0
heavy signup seen in 1987 corn program - usda,0
ibm calls 250 mln dlrs of 9-7/8 pct notes for redemption,2
illinois co-op futures dissolution vote set,0
conrac  soars following mark iv  bid,0
laser photonics  sells common shares,0
"crowley, milner and co 4th qtr jan 31 net",1
conrac  urges no action on bid,0
finds high-grade order,0
lvi group inc  files preferred offering,0
"brazilian seamen say 14,000 now back at work",0
fed buys 500 mln dlrs of bills for customer,2
"reagan signs ginnie mae bill, voices concern on fees cap",0
ibm  to redeem 250 mln dlrs of notes,2
philadelphia electric  sells mortgage bonds,0
reagan signs gnma bill with reservations,0
penn traffic co  4th qtr jan 31 net,1
celanese produces new fiber in u.s.,0
fnma delays debenture offering announcement,0
calumet industries  sees 2nd qtr loss,1
wainoco oil  recapitalizing company,0
"cocoa buffer stock accord closer, delegates say",0
financial corp  not holding buyout talks,0
mexico sees compromise on iadb reforms,0
pdvsa income on oil sales fell 45 pct in 1986,0
american network inc  dec 31 year net,0
technimed corp said company cancelled contract,0
recent proposed offerings filed with sec,0
signet banking corp regular dividend,0
mott's super markets inc  4th qtr jan 3,1
alexander's  2nd qtr feb 7,1
imperial oil  to focus on higher profit,0
northeast utilities  year,0
leeco diagnostics  awarded federal grant,0
cpc  to sell european business,0
mobex completes grant industries  tender,0
leucadia national corp  4th qtr net,1
telecom  completes sale,0
"haiti, czechoslovakia join cocoa organization",0
integrated resources inc  4th qtr net,1
new s.africa accord with banks brought compromise,0
wean united inc  4th qtr,1
u.s. house panel eases soviet export controls,0
"u.s. exporters report 200,000 tonnes corn  switched from unknown to ussr for 1986/87",0
baldrige says changes needed in exchange rates of currencies pegged to dollar,0
charter co 4th qtr net profit 118.8 mln dlrs vs loss 13 mln dlrs,2
alexander's  2nd qtr ends feb 27 net,1
"stanadyne , united technologies end talks",0
unocal  unit offers 450 mln dlrs of notes,2
att  launches new software packages,0
"south africa, creditor banks agree on debt plan",0
citicorp  rules out credit card price war,0
new process co  sets qtly payout,0
usda reports corn switched to ussr,0
canadian airline in buy from british aerospace,0
petroleum equipment tools co  4th qtr,1
sundor group buys dwg  unit's assets,3
quick and reilly group  4th qtr feb 28,1
hayes-albion  completes going private deal,0
charter co  4th qtr oper loss,1
s/p may downgrade mark iv industries  debt,0
advanced magnetics  in agreement,0
health research files for bankruptcy,0
numerex corp  2nd qtr jan 31 loss,1
u.s. selling 12.8 billion dlrs of 3 and 6-mo bills march 30 to pay down 1.2 billion dlrs,0
"u.s. 2-year note average yield 6.43 pct, stop 6.44 pct, awarded at high yield 85 pct",0
"commodore , atari in settlement",0
baldrige supports nic talks on currencies,0
triangle  begins exchange offer,0
southmark  unit in public offering of stock,3
eastman kodak co to sell holdings in icn pharmaceuticals and viratek inc,0
feud persists at u.s. house budget committtee,0
treasury balances at fed rose on march 23,0
farm credit system seen needing 800 mln dlrs aid,2
usx  uss unit raises prices,3
unionist urges retaliation against japan,0
exxon (xon) gets 99.2 mln dlr contract,2
eaton (etn) gets 53.0 mln dlr contract,2
zaire authorized to buy pl 480 rice - usda,0
mcdonnell douglas gets 30.6 mln dlr contract,2
midivest acquires assets of business aviation,0
u.s. wheat credits for jordan switched,0
dollar expected to fall despite intervention,0
u.s. to sell 12.8 billion dlrs in bills,0
inland steel  to build new plant in indiana,0
eastman kodak  to sell holdings,0
guinness sues boesky in federal court,0
firm reduces sceptre resources  holdings,0
gencorp board withdraws proposals to stagger directors terms,0
1st qtr feb 28 net,1
bull and bear group a  cuts fund payouts,0
caltex to raise bahrain oil product prices,0
charter co  to complete reorganization,0
nashua  to purchase private disc maker,0
altron inc  4th qtr jan 3,1
collins foods  moves up warrant conversion,0
gencorp  proposals withdrawn from meeting,0
weekly electric output up 2.4 pct from 1986,0
monolithic  to drop gate array line,0
"api says distillate stocks off 4.07 mln bbls, gasoline off 2.69 mln, crude up 8.53 mln",2
vermont financial services  sets payout,0
resorts international gets buyout proposal from ksz co inc,0
vr business brokers expands operations,0
corrected - att  forms computer sales groups,0
great atlantic and pacific tea co inc  div,0
gartner group  acquires comtec program,0
u.s. car sales down 3.9 pct in mid-march,0
resorts int'l  receives takeover offer,0
citicorp  sees doubling in retail bank net,0
wd-40 co  2nd qtr feb 28 net,1
nasd to begin search for new president,0
brazil computer market to remain closed-minister,0
metalbanc in offering,0
northern indiana public svc  again omits div,0
fed's johnson says dollar stabilized after fed took appropriate action,0
fed chairman volcker says bank proposals a worry,0
borman's inc  declares qtly dividend,0
interleukin-2  details warrant conversion,0
u.s. corn acreage seen near record low,0
kirschner  completes purchase,0
u.s. senators seek to expand usda export bonus,0
fed's johnson says fed acted to stabilize dollar,0
xoma  files for public offering,0
republic american  plans exchange offer,0
maryland national  sees new name,0
venezuela to annouce partner for coal venture,0
gottschalks inc  4th qtr net,1
borg-warner says it discussed possible takeover with irwin jacobs,0
cyclops corp says cyacq's amended offer restates original conditions,0
"u.s. sugar quota may be eased, congressman says",0
mobil  unit names group president,3
sony  to ship sample optical disks,0
california microwave  takes 3rd qtr charge,1
"crs sirrine plans major restructuring, write off of up 43 mln dlrs",2
h.f. ahmanson and co  qtly dividend,0
borg-warner  tells of talks with jacobs,0
canada vows to fight u.s. potash action,0
"trintoc, union carbide to build methanol plant",0
ormand industries  unit to repay debt,3
volcker calls dollar slide enough,0
nasdaq march short interest was 184.9 mln shrs vs 215.7 mln shares in february,2
rb industries  completes store sales,0
travelers  unit sells mortgage certificates,3
nasdaq short interest in march falls,0
goldman sachs sells signet  unit notes,3
nms pharmaceutical  sets new blood test,0
american can  sells convertible eurobonds,0
gencorp  takeover group cancels hearing,0
gencorp  fixes rights separation date,0
canada energy minister to make statement,0
american international  sells african unit,3
oxford industries inc  3rd qtr feb 27,1
union takes american airlines to court,0
portugal may have purchased u.s. corn,0
taiwan tendering thursday for u.s. corn,0
sri lanka tendering overnight for wheat,0
brazil announces new planning minister,0
4th qtr oper loss,1
bayou  in definitie merger agreement,0
apache  files for 100 mln dlr offering,2
transcontinental  files new offer,0
computer identics corp  4th qtr,1
fleet to acquire assets of mark iv  unit,3
mikron instrument co  1st qtr jan 31,1
golden north has encouraging drill results,0
unisys  gets order from sweden,0
hawkeye  issues preference stock,0
austn feb annual m3 money supply rises 11.2 pct,0
"ps group , usair  move up deadline",0
tandon  says sears  still customer,0
"mergers, public offers seen among car dealers",0
comprehensive care corp  3rd qtr net,1
chapman  in restructuring,0
vestar inc  year loss,0
univation inc  expands europe distribution,0
year net,0
first new hampshire banks inc div,0
house of fabrics  quarterly dividend,0
"bank of japan bought 200 to 300 mln dlrs this morning, dealers said.",2
miami-brazil and bank advisory committee agree to 60-day extension on credit lines,0
"japan buys modest amount of dollars, dealers say",0
miami-brazil says it expects to make no interest payments before march 31,0
"corrected-miami-brazil, bank committee will transmit request for 60-day credit extension",0
brazil/bank committee agree on credit request,0
japan's 1986/87 sugar cane output seen falling,0
indian rocket launch fails,0
australia's opposition party gaining popularity,0
weeks petroleum ltd  calendar 1986,0
"bank of japan keeps intervening to hold dollar above 149 yen, brokers",0
"japan intervening to keep dollar up, brokers",0
bell group issuing 200 mln in convertible bonds,2
current exchange rates almost within levels agreed by major nations - sumita,0
sumita says major nations cooperated to stabilise currencies.,0
thailand's foreign reserves fall in february,0
exchange rates almost within g-6 levels - sumita,0
n.z. trade surplus 119.1 mln dlrs in february,2
matsushita to issue 200 billion yen convertible,0
sumita says bank of japan has no intention of lowering its discount rate,0
japan does not intend to cut discount rate-sumita,0
jardine matheson profits seen up sharply in 1986,0
hu yaobang appears at china parliamentary session,0
foreign brokers get more access to japanese bonds,0
china's first joint venture bank reports profit,0
bangladesh's payments deficit narrows in october,0
peking faces water rationing,0
u.s.-china cigarette filter joint venture set up,0
two japanese steelmakers to cut capital spending,0
nissan affiliate to acquire u.s. autoparts maker,0
dutch state launches new eight year bullet at 6-1/4 pct - official,0
"yen may rise to 140 to the dollar, nikkeiren says",0
singapore securities market considering changes,0
new dutch bullet state loan at 6-1/4 pct due 1995,0
brussels - ferruzzi says it will pay 630 mln dlrs to cpc international for european mills.,2
"vietnam to resettle 300,000 on state farms in 1987",0
ec ministers fail to end deadlock on research plan,0
madagascar extends amoco oil exploration agreement,0
ferruzzi deal with cpc worth 630 mln dlrs,2
airlines can increase hong kong/manila flights,0
swire pacific ltd  year 1986,0
bat industries 1986 pretax profit 1.39 billion stg vs 1.17 billion,0
bat industries plc  1986 year,0
swire plans bonus issue on higher 1986 profits,0
"japan trade ministry asks trade houses, exporters to reduce dlr sales, sources",0
sri lankan government to stop importing sugar,0
new dutch special advances total 4.2 billion,0
danish february consumer prices fall 0.1 pct,0
"japan asks traders, exporters to cut dollar sales",0
bank of japan to sell 300 billion yen in bills,0
abbey national has one billion dlr euro cd pact,0
enserch issues 100 mln dlr convertible bond,2
middle east currency market sees key changes,0
belgolux trade swings into january deficit,0
guinness seeks u.k. injunction against saunders,0
citibank launches currency warrants,0
malaysia's foreign borrowing held at 1986 level,0
"basf u.s. profit,turnover boosted by acquisitions",0
swiss bank net foreign assests up in 4th quarter,1
bicc plc  1986 year,0
taiwan money supply rises 48.22 pct in year,0
pakistan says afghan air raid killed almost 150,0
"china must cut demand, continue reforms, zhao says",0
nippon steel to reduce dividend,0
bat sees strong performance from all sectors,0
china's premier zhao says political crisis over,0
taiwan sees its investment in u.s. rising sharply,0
babcock unit wins order for venezuelan power plant,3
jardine to join consortium for hk second airport,0
babcock international plc  year 1986,0
veba placement continues for small shareholders,0
delta group  year to jan 3.,0
placer pacific says big bell gold study expanding,0
belgian public debt rises in february,0
babcock expects further progress in 1987,0
"egypt buys 46,000 tonnes of sunflowerseed oil",0
"china to tighten import control, cut export costs",0
west germans to mint community anniversary coin,0
singapore gdp to grow six pct in first quarter,0
cargill u.k. strike talks to resume this afternoon,0
norway issues 60 billion yen eurobond,0
brockway air to buy five saab planes,0
saab-scania launches 100 mln dlr euro-cp program,2
british compound feed production detailed,0
kloeckner und co's 1986 profit falls about 20 pct,0
mixed asian reaction to new rubber pact,0
"ciba-geigy, phillips petroleum in joint venture",0
krupp to build south korean steel plant,0
swire expects continued growth this year,0
uncertainty surrounds ec sugar tender result-trade,0
abu dhabi to reopen gulf oilfield hit in 1986 raid,0
"chad says troops killed 1,200 libyans in battle",0
rainbow lifts progressive stake to 52 pct,0
bank of thailand plans its first bond issue,0
foreign brokers get more access to japanese bonds,0
"yen may rise to 140 to the dlr, nikkeiren says",0
"japan buys modest amount of dollars, dealers say",0
brazil/bank committee agree on credit request,0
japan does not intend to cut discount rate-sumita,0
u.k. money market forecast revised to show surplus,0
bank of england does not operate in money market,0
bank of japan to sell 300 billion yen in bills,0
exchange rates almost within g-6 levels - sumita,0
afghan bombing toll almost 150,0
"japan asks traders, exporters to cut dollar sales",0
swire uncommitted on proposed new h.k. airport,0
central banks buy dollars for yen in london,0
"brazil, banks fail to make breakthrough in debt talks",0
